,company_x,company_y;
436,Little Rocket I Data & Digital Innovation,PinkRoccade GGZ;
437,Little Rocket,The Volcano | Mensen helpen met persoonlijk en zakelijke groei;
438,Saxion University of Applied Sciences,Technische Universiteit Twente;
439,Saxion University of Applied Sciences,ViaDW bv;
440,Little Rocket,ForSight Consulting;
441,Little Rocket,Dataminr;
442,Little Rocket,'t Twents Kwartiertje;
443,Koninklijke Grolsch,MiraMundo Travel;
444,Saxion University of Applied Sciences,Rijksoverheid;
445,Little Rocket I Data & Digital Innovation,Exite ICT;
446,Saxion University of Applied Sciences,Citisens | vergroot betrokkenheid;
447,Saxion University of Applied Sciences,JH creatieve communicatie;
448,Little Rocket,BPRvisie Audiovisueel B.V.;
449,Koninklijke Grolsch,Integra Marine & Freight Services;
450,Little Rocket,Maureen Beldhuis Loopbaancoaching;
451,Koninklijke Grolsch,Mueller B.V.;
452,Saxion University of Applied Sciences,NPO;
453,Little Rocket I Data & Digital Innovation,Innovadis;
454,Little Rocket,Vijfhart IT-Opleidingen;
455,Koninklijke Grolsch,Yours Personeelsdiensten BV;
456,Saxion University of Applied Sciences,UCare4 - Gebouwbeheer Veiligheidsprocessen - Digitaal logboek - Gebouwcompliance;
457,Saxion University of Applied Sciences,Visymo Universal Search Group;
458,Little Rocket I Data + digitale innovatie,DAVO ;
459,Little Rocket I Data & Digital Innovation,Curious Inc;
460,Little Rocket,QSXL; data driven sourcing
461,Little Rocket,Endoor;
462,Little Rocket,Carpetright;
463,Little Rocket,Demcon;
464,Little Rocket,De Haagse Hogeschool / The Hague University of Applied Sciences;
465,Little Rocket,UMC Utrecht;
466,Little Rocket,Araco International B.V.;
467,Koninklijke Grolsch,Texelse Bierbrouwerij B.V.;
468,Little Rocket,Kasteel Mode;
469,Koninklijke Grolsch,Perfetti Van Melle;
470,Saxion University of Applied Sciences,Amstelveen;
471,Little Rocket | Data + digitale innovatie,Leen Bakker;
472,Saxion University of Applied Sciences,Isik University;
473,Little Rocket,Sticky Marketing;
474,Little Rocket,BeautyPlaza Nederland BV;
475,Koninklijke Grolsch,Spotler;
476,Saxion University of Applied Sciences,Social JO!N;
477,little rocket,IMPRES | Online Impact;
"478,Little Rocket,""United Nations OCHA, Centre for Humanitarian Data""";
479,Koninklijke Grolsch,Wi4;
480,Lions Clubs International,oldenzaal;
481,Koninklijke Grolsch,Zien360;
482,Saxion University of Applied Sciences,Ubisoft Toronto;
483,Little Rocket,Linden-IT;
484,Little Rocket,Asset Tilburg;
485,Little Rocket,Payvision;
486,Little Rocket,MAGIC Bodyfashion;
487,Koninklijke Grolsch,Reggeborgh Invest B.V.;
488,Little Rocket,Timothy Mercenary;
489,Little Rocket,Novel-T;
490,Little Rocket I Data & Digital Innovation,Medisch Spectrum Twente;
491,Little Rocket,Greymen&Co;
492,Lions Clubs International,Berg Interactive;
493,Saxion University of Applied Sciences,TriMM;
494,Saxion University of Applied Sciences,raceconsults.com;
495,Koninklijke Grolsch,WEST PLANT GROUP B.V.;
496,Little Rocket,International Flavors & Fragrances;
497,Lions Clubs International,Bedrijvencontact Gemeente Tubbergen ( BGT );
498,Koninklijke Grolsch,Grolsch/De Klok Dranken;
499,Koninklijke Grolsch,de Baak;
500,Little Rocket,TexTown Games;
501,Little Rocket,Buckaroo BV;
502,Little Rocket,Multifast Holland B.V.;
503,Koninklijke Grolsch,Electro Sistemas Mexicanos;
504,Little Rocket,Beeldprikkels;
505,Saxion University of Applied Sciences,SODAQ;
506,Little Rocket I Data + digitale innovatie,Hogeschool Saxion;
507,Little Rocket,Kingspan Geïsoleerde Panelen Nederland;
508,Little Rocket,Groupe SEB;
"509,Lions Clubs International,""Anne houdt woord - taal, tekst en communicatieadvies""";
"510,Little Rocket,""NIMA, Nederlands Instituut voor Marketing""";
511,Saxion University of Applied Sciences,Open Social;
512,Little Rocket,Wella Company;
513,Saxion University of Applied Sciences,EY;
514,Little Rocket,Lycens BV;
515,Little Rocket,Both social;
516,Little Rocket,MyBit BV;
517,Little Rocket | Data + digitale innovatie,Albert Heijn;
518,Little Rocket I Data + digitale innovatie,Royal Talens;
519,Little Rocket,Devoteam;
520,Koninklijke Grolsch,Corendon Dutch Airlines;
521,Little Rocket,Dept Agency;
522,Saxion University of Applied Sciences,Huisartsenpraktijk Marinus;
523,Little Rocket | Data + digitale innovatie,HANOS Internationale Horeca Groothandel;
524,Koninklijke Grolsch,Diageo;
525,Saxion University of Applied Sciences,Partners in Integriteit;
526,Little Rocket,MailUp;
527,Little Rocket,Dkwadraat | Verbinden - Innoveren - Creëren | www.dkwadraat.nl;
528,Saxion University of Applied Sciences,konomall.com;
529,Little Rocket I Data + digitale innovatie,Direct-On Holding B.V.;
530,Koninklijke Grolsch,CORRADI Srl;
531,Lions Clubs International,Adwise - Your Digital Brain;
532,Little Rocket I Data & Digital Innovation,Koop Watermanagement B.V.;
533,Little Rocket,Timing;
534,Koninklijke Grolsch,Bierista.nl | Bierista® Bieropleidingen;
535,Lions Clubs International,Lijnrecht. Helpt bedrijven groeien.;
536,Little Rocket,DIERENKLINIEK DE ARK;
537,little rocket,Simplicate;
538,Little Rocket I Data & Digital Innovation,Little Rocket I Data & Digital Innovation;
539,Little Rocket,Test-Correct;
540,Little Rocket,Paack;
541,Saxion University of Applied Sciences,ARCTIK - Communication for Sustainability;
542,Saxion University of Applied Sciences,Data Management Hub;
543,Koninklijke Grolsch,NS;
544,Little Rocket I Data + digitale innovatie,Morssink Bouwmaterialen B.V.;
545,Little Rocket,Interring;
546,Little Rocket I Data & Digital Innovation,Bleckmann;
547,Koninklijke Grolsch,ServiceMax;
548,Little Rocket,Bilfinger Tebodin;
549,Little Rocket I Data + digitale innovatie,Coinversable;
550,Little Rocket,ROC TOP;
551,Little Rocket I Data & Digital Innovation,NEDAP N.V.;
552,Saxion University of Applied Sciences,Previder;
553,Little Rocket I Data + digitale innovatie,Regio Zwolle;
554,Little Rocket I Data & Digital Innovation,Topicus.Finance;
555,Little Rocket,simon dam;
556,Lions Clubs International,ModiForce B.V.;
557,Lions Clubs International,HSKN.NL;
